lng,lat
113.893619,22.560881
113.893709,22.560818
113.893768,22.56071
113.893848,22.560639
113.893938,22.560543
113.894015,22.560456
113.894167,22.560293
113.894329,22.560163
113.894356,22.560113
113.894504,22.559988
113.894459,22.560001
113.8945,22.559976
113.894715,22.55978
113.894765,22.559725
113.894837,22.559613
113.89476,22.559692
113.895245,22.559258
113.895515,22.559
113.89547,22.559066
113.895533,22.558983
113.895793,22.558783
113.895721,22.558778
113.895838,22.55872
113.896067,22.558478
113.896211,22.558332
113.896301,22.558274
113.896593,22.557961
113.896674,22.557869
113.896579,22.557819
113.896485,22.557744
113.896422,22.557677
113.896359,22.557614
113.89631,22.557556
113.896323,22.557552
113.896193,22.557481
113.896211,22.557468
113.896067,22.557327
113.89609,22.557347
113.896072,22.557347
113.896009,22.557302
113.896085,22.557322
113.896018,22.557314
113.89595,22.557272
113.896036,22.557297
113.895937,22.557214
113.895964,22.557264
113.895838,22.557172
113.895807,22.557139
113.89573,22.557076
113.895681,22.557018
113.895582,22.556943
113.895506,22.556884
113.895479,22.556847
113.895209,22.55663
113.89507,22.55653
113.895057,22.55648
113.894926,22.556384
113.894765,22.556238
113.894666,22.556158
113.894603,22.556087
113.894316,22.555795
113.894028,22.555541
113.893938,22.555407
113.89388,22.555199
113.893871,22.555053
113.893817,22.554915
113.893817,22.554802
113.893754,22.554531
113.893745,22.554611
113.893718,22.554427
113.8937,22.554268
113.893709,22.55431
113.893628,22.554093
113.893646,22.55401
113.893557,22.553734
113.893462,22.553551
113.893453,22.553409
113.893404,22.553246
113.893386,22.553063
113.893372,22.553013
113.893287,22.552721
113.893251,22.552645
113.893238,22.552633
113.893197,22.552387
113.893143,22.552157
113.893089,22.551903
113.893094,22.551949
113.893062,22.551723
113.892703,22.551619
113.892582,22.551632
113.892245,22.551707
113.89211,22.551736
113.891863,22.551619
113.891836,22.551469
113.891832,22.551269
113.891782,22.551135
113.891787,22.550985
113.891931,22.550801
113.89202,22.550835
113.892416,22.55071
113.892371,22.550735
113.892838,22.55063
113.89304,22.550593
113.893408,22.550488
113.893498,22.550334
113.893485,22.550384
113.893889,22.550184
113.894136,22.550084
113.89432,22.550109
113.89485,22.549959
113.895021,22.549975
113.895313,22.549854
113.895259,22.549796
113.895596,22.549771
113.895479,22.549387
113.895407,22.549228
113.895376,22.549082
113.895317,22.54902
113.89529,22.548903
113.895048,22.548678
113.89485,22.548573
113.894837,22.548294
113.894522,22.548039
113.894118,22.547964
113.893583,22.547927
113.893422,22.548014
113.893197,22.548064
113.892851,22.548077
113.892559,22.548381
113.892479,22.548369
113.892115,22.548507
113.892137,22.54859
113.891904,22.548707
113.891746,22.548795
113.891324,22.548928
113.890902,22.548924
113.890017,22.549228
113.889671,22.549354
113.889406,22.549466
113.88902,22.549683
113.888557,22.549904
113.888005,22.550046
113.887623,22.549992
113.888041,22.550547
113.888153,22.550897
113.88796,22.551264
113.888158,22.551561
113.888279,22.55159
113.888378,22.551844
113.888283,22.552003
113.888261,22.552178
113.888459,22.552191
113.888764,22.552228
113.889851,22.552262
113.890085,22.552262
113.890538,22.552291
113.891082,22.552241
113.891612,22.552345
113.891657,22.552537
113.891634,22.552754
113.891648,22.553017
113.891693,22.553434
113.891688,22.553814
113.891742,22.55431
113.891845,22.554823
113.891823,22.55532
113.891845,22.555516
113.891899,22.555946
113.891917,22.556279
113.891881,22.556488
113.891922,22.556813
113.89189,22.557072
113.891908,22.557314
113.891944,22.557464
113.891877,22.557865
113.891971,22.558215
113.891926,22.558728
113.89189,22.559317
113.892119,22.559584
113.892326,22.559746
113.89269,22.560126
113.892842,22.560226
113.89326,22.560501
113.893539,22.560723
